t,p1,p2,series
0.0,0.5002659638957694,0.05010395750068805,1
12.0,0.765606061220282,0.08827082254750389,1
24.0,0.8920970723148279,0.013613822351956387,1
36.0,0.9078679245842796,0.004294117885732974,1
48.0,0.503409834100354,0.042912947669879575,1
60.0,0.658910045455383,0.2101019705833218,1
72.0,0.7159431322377326,0.19061624656424495,1
84.0,0.6737503448824361,0.248584367852091,1
96.0,0.6109698152106092,0.0438836488658303,1
108.0,0.4500295810229767,0.05129945309238726,1
120.0,0.21657543273658547,0.1295437028256267,1
132.0,0.5629518412429777,0.23697423974824622,1
144.0,0.7222225491586265,0.1499335667243701,1
156.0,0.7557674630109857,0.14261427356116171,1
168.0,0.6249730155591321,0.20255290054734765,1
180.0,0.5371898600180345,0.13294236185117936,1
192.0,0.4875947292608048,0.36257376921348006,1
204.0,0.39022442834220317,0.48717964036102024,1
216.0,0.34899861411909483,0.5076995311633087,1
228.0,0.4082185234744628,0.3759394931832938,1
240.0,0.5161965435180141,0.2598289592553733,1
252.0,0.35985524771145344,0.34812871807738127,1
264.0,0.14160250141190558,0.7052002934302363,1
276.0,0.1233708938117312,0.7562659188657304,1
288.0,0.23711592576591606,0.5733084057316286,1
300.0,0.1562256577784874,0.7376120405046893,1
312.0,0.06433814688970665,0.8554417233435033,1
324.0,0.07965668641641616,0.8485966673489256,1
336.0,0.14228815596834737,0.6695633900729915,1
348.0,0.34511034645541366,0.3065860687422881,1
360.0,0.49048105259266717,0.40312036409052326,1
372.0,0.24295825307162547,0.608033560744065,1
384.0,0.2698743100426052,0.5681911670106294,1
396.0,0.2179692586875631,0.6893204542046568,1
408.0,0.19572799118593923,0.6685276859536622,1
420.0,0.26085675448816964,0.3555829422014419,1
432.0,0.3550109018671477,0.27864007582789346,1
444.0,0.2808867947638808,0.443153404122947,1
456.0,0.07812930742175575,0.8291476155444916,1
468.0,0.05915479608812467,0.8606523645366315,1
480.0,0.06765414785890975,0.8744518610918198,1
492.0,0.06984705212407154,0.8165866200497363,1
0.0,0.5003770750068806,0.05011645750068806,2
12.0,0.4907868256085838,0.18436459954628187,2
24.0,0.4733146223278069,0.43207752274149913,2
36.0,0.5279055428413352,0.22462512572060914,2
48.0,0.23840493649301878,0.23502591373311024,2
60.0,0.7883224060568982,0.011683710327605103,2
72.0,0.8970457141608286,0.0028188559626659312,2
84.0,0.8282930400071757,0.0058547644526331915,2
96.0,0.8989132460993785,0.006128902613707655,2
108.0,0.44501437476883954,0.035108953837130696,2
120.0,0.18202818280331412,0.5669763002360279,2
132.0,0.06546755973053915,0.7784207685256251,2
144.0,0.03289104711424059,0.9345361139204781,2
156.0,0.04091992840831627,0.9152412222148618,2
168.0,0.059722989331699616,0.8193662553839811,2
180.0,0.07622274059368152,0.7976584676940859,2
192.0,0.14901661381700104,0.7951438387728498,2
204.0,0.24082555450299675,0.7414683166162275,2
216.0,0.28623108954584114,0.6699212934004111,2
228.0,0.4216706292602923,0.35269865019568203,2
240.0,0.06651217731998481,0.7203507428307311,2
252.0,0.22184625229760468,0.20131315844132003,2
264.0,0.6794531639003735,0.19563296833192317,2
276.0,0.7264684899779347,0.1912298652823219,2
288.0,0.6407068977021587,0.1885926313277859,2
300.0,0.547607405741019,0.28662378912253955,2
312.0,0.38361994870319266,0.41771462100891427,2
324.0,0.16973027770818025,0.6835658135310839,2
336.0,0.2086272388698012,0.6573135948754554,2
348.0,0.18201914133483668,0.7255581394453026,2
360.0,0.2300983123730275,0.6734183763221329,2
372.0,0.33639475559897813,0.4883349735047637,2
384.0,0.29056211879309285,0.639680108793698,2
396.0,0.3025261506282337,0.6576340006391901,2
408.0,0.3211659153932526,0.6326463041133513,2
420.0,0.2998513183410796,0.667914799987205,2
432.0,0.3316980319345676,0.6193359894821411,2
444.0,0.3644248264449241,0.5200496414678782,2
456.0,0.37154631536758664,0.5562279241491528,2
468.0,0.3299661637541829,0.36583595007198105,2
480.0,0.5297875167560047,0.3976181814517468,2
492.0,0.29732213487912773,0.5124638510162095,2
0.0,0.4952659638957694,0.05010395750068805,3
12.0,0.017387519168293668,0.7416485199857844,3
24.0,0.008557271044088832,0.8942786480053628,3
36.0,0.0055402115778064535,0.934097765141426,3
48.0,0.00497878960441774,0.9406801502442479,3
60.0,0.007358185692814815,0.9201486032324838,3
72.0,0.005852013184700028,0.932983929802371,3
84.0,0.005161344386241349,0.9241419727949539,3
96.0,0.013134349127273926,0.8168119237294232,3
108.0,0.008056323403335163,0.903066481691594,3
120.0,0.01850504016277341,0.7589994837761931,3
132.0,0.03162307237832253,0.6702526859992874,3
144.0,0.01022348379666936,0.8700990625982825,3
156.0,0.01981491273727372,0.7953777530643655,3
168.0,0.009403671691462098,0.8865582029850009,3
180.0,0.02268269395050801,0.7513591812476865,3
192.0,0.047172915246715935,0.4471787518014885,3
204.0,0.060576472636285926,0.3026556283792005,3
216.0,0.0604099139067812,0.2623183378465288,3
228.0,0.029982486403175385,0.6804551820042496,3
240.0,0.010435829521519384,0.8789706143495629,3
252.0,0.01705805038570736,0.796891819617044,3
264.0,0.03025952768148324,0.6733970371527385,3
276.0,0.05694049121216743,0.2181316994596219,3
288.0,0.011727438432241274,0.7636548925519945,3
300.0,0.011549774047102241,0.8727558275217216,3
312.0,0.008777098145553969,0.8884099209317615,3
324.0,0.00973893421648163,0.86494703235176,3
336.0,0.024816172643606495,0.7349641507566551,3
348.0,0.04693966530738942,0.4565535997206927,3
360.0,0.0294511475692028,0.6380625172725031,3
372.0,0.07076412305339334,0.27692183349514915,3
384.0,0.018558956808842224,0.797631474247713,3
396.0,0.019859802609245886,0.7775920047006191,3
408.0,0.006414043230300935,0.9259075093157686,3
420.0,0.006599550256579454,0.90201995196569,3
432.0,0.0027833876601090694,0.9241023906903946,3
444.0,0.015811097283708428,0.7730459917321181,3
456.0,0.008047532416210777,0.9084528770742736,3
468.0,0.0617150868007457,0.24912438564651795,3
480.0,0.06583682402892686,0.23461520082983173,3
492.0,0.051279845168335746,0.3499110963963867,3
0.0,0.5002659638957694,0.04960395750068805,4
12.0,0.6517025399461982,0.00447618306470597,4
24.0,0.3029668248552281,0.006867891175454129,4
36.0,0.715861523588895,0.0031886520342400467,4
48.0,0.7508864460480738,0.0025589357894407264,4
60.0,0.7943322892238482,0.002162613702790309,4
72.0,0.6822861386563943,0.00401158279549281,4
84.0,0.8725340757358556,0.0012750807076963304,4
96.0,0.9398762594758248,0.0005248200786697179,4
108.0,0.6707424623460361,0.003972376102523238,4
120.0,0.6201459987740268,0.003371621108938135,4
132.0,0.5498488573818148,0.00541262278451724,4
144.0,0.43764831895098416,0.007249393880169161,4
156.0,0.8066350905546384,0.002175941379378788,4
168.0,0.7036839565502451,0.0031013327446884867,4
180.0,0.5573243339154543,0.004935133716789902,4
192.0,0.5885521578091527,0.005180325296257587,4
204.0,0.845534849854645,0.0016506235124397284,4
216.0,0.8200337750118963,0.001784052279251913,4
228.0,0.8928936065259551,0.0012588113926680254,4
240.0,0.9310097838546152,0.0006685920831389383,4
252.0,0.9288566504752293,0.0007387650141136193,4
264.0,0.9219169597187986,0.0006991625936546121,4
276.0,0.9369573687546373,0.000633716710082565,4
288.0,0.8870747733242977,0.0009769283935405484,4
300.0,0.13407509416914573,0.010706972434699851,4
312.0,0.6852351839587331,0.004304487018432952,4
324.0,0.8964820936375612,0.0010511034900008776,4
336.0,0.9221336350386767,0.0007518371724167605,4
348.0,0.8914697351072429,0.0009653995349144278,4
360.0,0.9003862062439698,0.0010032971655653663,4
372.0,0.8338821907885369,0.0012948404381871244,4
384.0,0.882389146062124,0.0011724216649349791,4
396.0,0.8438561635032265,0.0015182870604862025,4
408.0,0.3114375811010142,0.007007169839119389,4
420.0,0.6076125229575102,0.003991648945753026,4
432.0,0.8101747235797895,0.0016468965139893662,4
444.0,0.6870363167007524,0.00309818316389659,4
456.0,0.7175864714134549,0.002574143533813743,4
468.0,0.8140782017489528,0.002096902233717621,4
480.0,0.5798076533362222,0.0029915236108062036,4
492.0,0.2758785000184665,0.011831552644353174,4
